% 1. Title: Consent information from Experiment 1
%
% 2. Sources:
%      (a) Creator: Christian Medeiros Adriano
%      (b) Date of Experiment: October 20, 2014
%      (c) Paper draft = https://arxiv.org/abs/1612.03015
%
@RELATION Task

@ATTRIBUTE time_stamp  STRING
@ATTRIBUTE event  {CONSENT,SKILLTEST,SURVEY}
@ATTRIBUTE worker_id  STRING
@ATTRIBUTE consent_date STRING
@ATTRIBUTE test1 {false, true}
@ATTRIBUTE test2 {false, true}
@ATTRIBUTE test3 {false, true}
@ATTRIBUTE test4 {false, true}
@ATTRIBUTE qualification_score NUMERIC
@ATTRIBUTE test_duration NUMERIC
@ATTRIBUTE feedback STRING
@ATTRIBUTE gender {Female,Male,Prefer_not_to_tell}
@ATTRIBUTE years_programming NUMERIC
@ATTRIBUTE difficulty NUMERIC
@ATTRIBUTE country STRING
@ATTRIBUTE age NUMERIC

@DATA

"2014 10 24 08:59:53.139000",CONSENT,0_1,1.414155593137E12,false,true,false,false,1,77599.0,,,,,,
"2014 10 24 08:59:58.462000",CONSENT,1_1,1.414155598462E12,false,false,false,true,1,152639.0,,,,,,
"2014 10 24 09:00:21.293000",CONSENT,2_1,1.414155621293E12,false,false,false,true,1,102579.0,,,,,,
"2014 10 24 09:00:28.829000",CONSENT,3_1,1.414155628829E12,false,true,false,true,2,233332.0,,,,,,
"2014 10 24 09:00:30.614000",CONSENT,4_1,1.414155630614E12,false,true,false,false,1,78360.0,,,,,,
"2014 10 24 09:00:34.185000",CONSENT,5_1,1.414155634185E12,false,false,true,false,1,112594.0,,,,,,
"2014 10 24 09:00:35.395000",CONSENT,6_1,1.414155635395E12,false,false,false,true,1,496973.0,,,,,,
"2014 10 24 09:00:38.965000",CONSENT,7_1,1.414155638965E12,false,false,false,true,1,62554.0,,,,,,
"2014 10 24 09:00:45.760000",CONSENT,8_1,1.41415564576E12,true,true,true,true,4,225599.0,"very nice task",Male,3,7,"India",25
"2014 10 24 09:00:56.478000",CONSENT,9_1,1.414155656478E12,false,false,true,false,1,50740.0,,,,,,
"2014 10 24 09:01:03.925000",CONSENT,10_1,1.414155663925E12,,,,,,,,,,,,
"2014 10 24 09:01:05.690000",CONSENT,11_1,1.414155665069E12,false,false,false,false,0,51018.0,,,,,,
"2014 10 24 09:01:05.582000",CONSENT,12_1,1.414155665582E12,false,false,false,false,0,97904.0,,,,,,
"2014 10 24 09:01:07.543000",CONSENT,13_1,1.414155667543E12,,,,,,,,,,,,
"2014 10 24 09:01:10.142000",CONSENT,14_1,1.414155670142E12,false,false,false,false,0,95541.0,,,,,,
"2014 10 24 09:01:17.448000",CONSENT,15_1,1.414155677448E12,,,,,,,,,,,,
