% 1. Title: Consent file from Experiment TWO
%
% 2. Sources:
%      (a) Creator: Christian Medeiros Adriano
%      (b) Date of Experiment: July, 2015
%      (c) Paper draft = https://arxiv.org/abs/1612.03015
%
@RELATION Task

@ATTRIBUTE time_stamp STRING
@ATTRIBUTE event  {CONSENT,SURVEY,SKILLTEST,FEEDBACK}
@ATTRIBUTE worker_id  STRING
@ATTRIBUTE file_name STRING
@ATTRIBUTE consent_date NUMERIC
@ATTRIBUTE language STRING
@ATTRIBUTE profession String
@ATTRIBUTE gender {Female,Male,Prefer_not_to_tell,Other}
@ATTRIBUTE learned STRING
@ATTRIBUTE years_programming NUMERIC
@ATTRIBUTE country STRING
@ATTRIBUTE age NUMERIC
@ATTRIBUTE test1 {0,1}
@ATTRIBUTE test2 {0,1}
@ATTRIBUTE test3 {0,1}
@ATTRIBUTE test4 {0,1}
@ATTRIBUTE test5 {0,1}
@ATTRIBUTE qualification_score NUMERIC
@ATTRIBUTE test_duration NUMERIC
@ATTRIBUTE feedback STRING
@ATTRIBUTE quit_reason STRING

@DATA

Mon 2015 Jul 13 11:32:51.808,CONSENT,_3,null,1.436801571806E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:16:02.507,CONSENT,0Ag-3I5g2-33_3,HIT02_24,1.436271322013E12,"NA","Other NA",Male,"High_School",0,"usa",23,,,,,,,,,
Tue 2015 Jul 07 08:15:30.545,CONSENT,1EC0i5g-60-5_3,HIT02_24,1.436271330545E12,,,,,,,,,,,,,,,,
Tue 2015 Jul 07 08:44:29.407,CONSENT,2ag5c3i5-96_3,HIT02_24,1.436271348336E12,"visual basics","Hobbyist",Male,"High_School",2,"usa",28,0,1,0,0,0,1,69000.0,,
Tue 2015 Jul 07 08:37:49.595,CONSENT,3AI7C4g38-9_3,HIT02_24,1.436271352812E12,"HTML","Hobbyist",Male,"High_School;Web",12,"United States",28,0,1,0,1,1,3,171713.0,"I was unsure about this task. ",
Tue 2015 Jul 07 08:23:57.685,CONSENT,4eG-9C1c924_3,HIT02_24,1.436271367805E12,"python","Hobbyist",Male,"Web;Other_books",5,"united states",33,0,1,0,1,0,2,469880.0,,
Tue 2015 Jul 07 08:17:41.830,CONSENT,5aa4e2a74-3_3,HIT02_24,1.436271368561E12,"basic","Other engineer",Male,"Web",4,"USA",34,,,,,,,,,
Tue 2015 Jul 07 08:18:01.785,CONSENT,6ai-7g6e2-1-5_3,HIT02_24,1.436271369601E12,"Java","Hobbyist",Male,"Web",0,"USA",28,0,0,0,1,1,2,112184.0,,
Tue 2015 Jul 07 08:21:35.711,CONSENT,7aI-8i9g6-3-5_3,HIT02_24,1.436271370663E12,"C++; Python","Hobbyist",Male,"High_School;Web",5,"United States",35,1,0,0,1,0,2,325048.0,,
