"","test1","test2","test3","test4","test5"
"4",1,2,1,1,1
"5",1,2,1,2,2
"6",1,2,1,2,1
"8",1,1,1,2,2
"9",2,1,1,2,1
"10",1,2,1,1,1
"12",2,1,2,2,1
"13",1,1,1,1,1
"16",1,1,1,1,1
"17",2,1,2,2,2
"18",2,2,2,2,2
"19",2,1,1,1,1
"20",2,1,2,2,2
"21",1,2,1,2,1
"22",1,1,1,2,1
"23",2,2,2,2,2
"24",1,2,1,1,1
"26",1,1,2,1,1
"32",1,1,1,2,1
"35",1,1,1,2,2
"37",1,2,1,2,2
"39",1,1,1,2,2
"40",1,1,1,1,1
"43",1,1,1,2,1
"44",1,1,2,2,1
"45",1,1,1,1,2
"46",1,1,1,2,2
"47",1,1,1,2,2
"48",1,2,1,2,1
"49",1,2,1,2,1
"52",1,1,1,2,1
"56",1,2,1,1,1
"61",1,1,1,1,1
"64",1,1,1,2,2
"68",1,1,1,1,1
"71",1,1,1,1,1
"72",1,1,2,1,2
"74",2,1,1,1,1
"76",2,2,2,2,2
"77",2,2,2,1,2
"79",2,2,2,2,1
"80",1,2,1,2,1
"86",1,1,1,1,1
"91",1,2,1,2,2
"95",1,1,1,1,1
"96",1,1,1,1,1
"99",2,2,1,1,1
"100",1,1,1,2,1
"102",2,2,2,2,2
"105",2,2,2,1,2
"106",2,2,2,2,1
"109",1,2,2,2,1
"110",1,1,1,1,1
"113",1,1,1,2,1
"115",2,1,1,1,1
"117",1,1,1,1,2
"127",2,2,2,1,2
"131",1,2,1,1,1
"132",2,1,1,1,1
"134",1,2,1,1,1
"136",1,1,1,1,1
"139",2,1,1,2,2
"142",1,2,1,2,1
"143",1,1,1,1,1
"144",1,1,1,2,1
"145",2,2,2,2,2
"146",2,1,1,1,1
"147",1,1,1,2,1
"148",2,1,1,2,2
"149",2,2,2,2,2
"151",1,2,1,1,1
"153",2,2,2,2,1
"156",1,1,1,2,1
"158",1,1,2,1,1
"160",1,1,1,1,1
"161",1,2,1,2,1
"162",1,1,1,1,2
"164",1,1,1,2,1
"166",2,1,1,1,1
"167",1,2,1,1,1
"169",1,1,1,1,1
"170",2,2,2,2,1
"172",2,2,2,2,2
"176",1,1,1,1,1
"179",1,1,1,1,1
"181",2,1,1,2,1
"183",1,1,1,2,1
"184",1,1,1,1,1
"185",1,2,1,2,1
"189",1,1,1,1,1
"190",2,2,2,2,2
"191",2,1,1,2,1
"192",2,1,2,2,2
"193",1,1,1,1,1
"194",1,1,1,1,1
"195",2,2,2,1,1
"196",2,2,1,2,1
"197",2,1,1,2,2
"198",2,1,1,2,1
"199",2,2,1,2,1
"200",1,1,1,2,1
"203",2,2,2,2,2
"204",2,2,2,2,2
"206",1,1,1,1,2
"214",1,1,1,2,1
"215",1,1,1,2,1
"216",1,1,1,1,1
"217",1,1,1,1,1
"220",2,1,1,2,1
"225",2,2,2,2,2
"228",2,1,1,1,1
"229",2,2,2,2,1
"232",1,1,1,1,1
"233",1,1,1,2,1
"234",2,2,1,2,1
"235",2,2,2,2,1
"242",1,1,1,2,1
"245",2,1,1,1,1
"246",1,1,1,2,2
"251",2,1,1,1,2
"253",1,2,1,1,2
"255",2,1,1,1,1
"257",1,1,1,2,1
"258",2,2,2,2,2
"260",2,1,1,2,1
"265",2,2,2,2,2
"267",1,1,1,2,2
"271",2,1,2,2,1
"273",1,1,2,2,2
"274",2,2,1,1,2
"275",1,1,1,2,1
"278",1,1,1,1,1
"279",1,1,1,1,1
"280",2,1,1,1,2
"281",1,1,1,2,1
"282",2,2,2,2,1
