"","time_stamp","event","worker_id","file_name","consent_date","language","profession","gender","learned","years_programming","country","age","test1","test2","test3","test4","test5","qualification_score","test_duration","feedback","quit_reason","Obs","Exp","irt_qualification_score","irt_qualification_score.standard_error"
"1","Tue2015Jul0708:44:29.407","CONSENT","2ag5c3i5-96_3","HIT02_24",1436271348336,"visual basics","Hobbyist","Male","High_School",2,"usa",28,"0","1","0","0","0",1,69000,NA,NA,91,79.1622650165717,0.490009859511696,0.481294462706184
"2","Tue2015Jul0708:37:49.595","CONSENT","3AI7C4g38-9_3","HIT02_24",1436271352812,"HTML","Hobbyist","Male","High_School;Web",12,"United States",28,"0","1","0","1","1",3,171713,"I was unsure about this task. ",NA,51,22.0329810248658,0.936344292346508,0.399960824511498
"3","Tue2015Jul0708:23:57.685","CONSENT","4eG-9C1c924_3","HIT02_24",1436271367805,"python","Hobbyist","Male","Web;Other_books",5,"united states",33,"0","1","0","1","0",2,469880,NA,NA,90,60.6977851420413,0.659986338615415,0.438627388040411
"4","Tue2015Jul0708:18:01.785","CONSENT","6ai-7g6e2-1-5_3","HIT02_24",1436271369601,"Java","Hobbyist","Male","Web",0,"USA",28,"0","0","0","1","1",2,112184,NA,NA,34,32.191094180145,0.660729865587491,0.438468690242387
"5","Tue2015Jul0708:21:35.711","CONSENT","7aI-8i9g6-3-5_3","HIT02_24",1436271370663,"C++; Python","Hobbyist","Male","High_School;Web",5,"United States",35,"1","0","0","1","0",2,325048,NA,NA,69,41.8797460004164,0.941097916043942,0.399673969975627
"6","Tue2015Jul0708:18:49.408","CONSENT","8cG4c-7e-460_3","HIT02_24",1436271386556,"Javascript","Undergraduate_Student","Female","University;Web",2,"United States",22,"0","1","0","0","0",1,142852,NA,NA,91,79.1622650165717,0.490009859511696,0.481294462706184
"7","Tue2015Jul0709:21:39.428","CONSENT","358ig-7C7C5-1-2:10EI0c-3A0-3-9_3","HIT02_24",1436271398036,"SQL","Professional_Developer","Male","University",5,"USA",32,"1","0","1","1","0",3,1785444,"I enjoyed this and thought it was interesting",NA,31,36.5118535304554,1.32677343651316,0.417745727973314
"8","Tue2015Jul0708:20:27.127","CONSENT","11ga7i-5C-15-1_3","HIT02_24",1436271399590,"unknown","Hobbyist","Female","Web",0,"United States",29,"0","0","0","0","0",0,227537,NA,NA,271,320.219929518008,0,0.64170788576225
"9","Tue2015Jul0708:19:39.616","CONSENT","14Ca0I-1G-602_3","HIT02_24",1436271445810,"java","Hobbyist","Male","Web",1,"usa",23,"0","0","0","0","0",0,133806,NA,NA,271,320.219929518008,0,0.64170788576225
"10","Tue2015Jul0709:19:25.449","CONSENT","27Ei-8i0A-3-59:15cG-7i7C996_3","HIT02_24",1436271498276,"RPG; Visual Basic","Professional_Developer","Male","High_School;University",23,"USA",44,"1","0","1","1","1",4,738056,"Very much enjoyed that. I haven't coded in a while so it was great to flex that part of my brain again. I love troubleshooting code in languages I don't know. It is really fun.",NA,37,48.4708177855312,1.64469725198131,0.480823443443963
"11","Tue2015Jul0708:37:00.234","CONSENT","23EE-1c8E1-7-2:16eA-3g-9A-7-5-3_3","HIT02_24",1436271505954,"Java","Professional_Developer","Male","High_School;University;Web",8,"USA",29,"1","1","1","1","1",5,233903,"I'd like to be able to go back; as I noticed something on the last question that I did not see earlier.",NA,289,242.373478663306,2.11026901799144,0.610196140661512
"12","Tue2015Jul0708:21:10.998","CONSENT","17ge4i-2g-785_3","HIT02_24",1436271523685,"none","Hobbyist","Female","University;Web",0,"United States",39,"1","0","0","0","0",1,147313,NA,NA,64,40.7401827947098,0.808290895416211,0.412607162804682
"13","Tue2015Jul0708:26:45.946","CONSENT","18GA-4a-5e-5-8-5_3","HIT02_24",1436271550136,"javascript; python","Undergraduate_Student","Male","University;Web",1,"United States",22,"1","0","1","1","1",4,455810,NA,NA,37,48.4708177855312,1.64469725198131,0.480823443443963
"14","Tue2015Jul0708:21:08.274","CONSENT","19AA-4C4C-661_3","HIT02_24",1436271559149,"A+","Graduate_Student","Female","Web",1,"usa",35,"0","1","0","1","0",2,109125,NA,NA,90,60.6977851420413,0.659986338615415,0.438627388040411
"15","Tue2015Jul0708:25:13.365","CONSENT","20ge-8c-5c047_3","HIT02_24",1436271584522,"PHP","Hobbyist","Female","Web;Other_Self_taught",8,"USA",37,"0","0","0","1","0",1,328843,NA,NA,159,164.244765272243,0.283253001320962,0.545834144014281
"16","Tue2015Jul0713:10:38.481","CONSENT","21cI-1i9c-41-7_3","HIT02_24",1436271616340,"C; Java","Professional_Developer","Female","University;Web",8,"India",27,"1","1","1","1","1",5,16675083,"Its very hard task; but I am capable to do this",NA,289,242.373478663306,2.11026901799144,0.610196140661512
"17","Tue2015Jul0708:23:53.045","CONSENT","22gi-2G-3A-36-9_3","HIT02_24",1436271632933,"C","Hobbyist","Male","High_School;Web",10,"USA",34,"0","1","0","0","0",1,200112,NA,NA,91,79.1622650165717,0.490009859511696,0.481294462706184
"18","Tue2015Jul0708:24:22.863","CONSENT","24Ci-3C-6i11-5_3","HIT02_24",1436271794579,"Java","Undergraduate_Student","Male","University",1,"US",34,"0","0","1","0","0",1,68284,NA,NA,80,31.8547186912028,0.655895334273279,0.439505351567357
"19","Tue2015Jul0708:38:25.716","CONSENT","30EC-5i7E-4-6-5_3","HIT02_24",1436271899254,"None","Hobbyist","Male","Other_None",0,"United States",24,"0","0","0","1","0",1,150808,NA,NA,159,164.244765272243,0.283253001320962,0.545834144014281
"20","Tue2015Jul0708:32:38.090","CONSENT","33cE-5G3g-5-4-7_3","HIT02_24",1436271959429,"PHP","Hobbyist","Female","Web",8,"USA",37,"0","0","0","1","1",2,398661,NA,NA,34,32.191094180145,0.660729865587491,0.438468690242387
"21","Tue2015Jul0708:54:49.644","CONSENT","35Eg-6i-8G-2-6-8_3","HIT02_24",1436271978727,"php","Undergraduate_Student","Female","University",3,"US",49,"0","1","0","1","1",3,389938,"I'm not sure what's going on here",NA,51,22.0329810248658,0.936344292346508,0.399960824511498
"22","Tue2015Jul0708:31:02.808","CONSENT","37gG-2g4e932_3","HIT02_24",1436272032658,"none","Hobbyist","Female","Other_no_where",0,"USA",21,"0","0","0","1","1",2,230150,NA,NA,34,32.191094180145,0.660729865587491,0.438468690242387
"23","Tue2015Jul0708:28:49.047","CONSENT","38Ag-2A8C-2-19_3","HIT02_24",1436272038576,"Java","Graduate_Student","Female","High_School;University;Web",8,"usa",26,"0","0","0","0","0",0,90471,NA,NA,271,320.219929518008,0,0.64170788576225
"24","Tue2015Jul0708:47:11.362","CONSENT","41ig8g9E-790_3","HIT02_24",1436272091596,"Java","Graduate_Student","Male","University",2,"India",26,"0","0","0","1","0",1,876045,NA,NA,159,164.244765272243,0.283253001320962,0.545834144014281
"25","Tue2015Jul0708:32:49.159","CONSENT","42IE2A-6G-99-7_3","HIT02_24",1436272177729,"C","Hobbyist","Female","High_School",1,"USA",49,"0","0","1","1","0",2,191430,NA,NA,19,28.4242188306045,0.802192356708647,0.413443164109273
"26","Tue2015Jul0708:38:04.742","CONSENT","43CC4C7e-8-5-1_3","HIT02_24",1436272187062,"none","Other MTurk Worker","Female","Other_no",0,"US",62,"0","0","0","0","1",1,497680,NA,NA,56,41.9500376556003,0.490904920256747,0.481040148485908
"27","Tue2015Jul0708:38:05.051","CONSENT","44aI-3I-4i9-1-8_3","HIT02_24",1436272208790,"C","Professional_Developer","Male","University",4,"USA",25,"0","0","0","1","1",2,406417,NA,NA,34,32.191094180145,0.660729865587491,0.438468690242387
"28","Tue2015Jul0708:31:45.383","CONSENT","45GI4e4I-2-75_3","HIT02_24",1436272227394,"english","Graduate_Student","Male","University",1,"Roumania",25,"0","0","0","1","1",2,77989,NA,NA,34,32.191094180145,0.660729865587491,0.438468690242387
"29","Tue2015Jul0708:39:43.377","CONSENT","46Ga-3A6e722_3","HIT02_24",1436272327376,"Java","Hobbyist","Male","Web",3,"India",32,"0","1","0","1","0",2,456001,NA,NA,90,60.6977851420413,0.659986338615415,0.438627388040411
"30","Tue2015Jul0708:41:08.725","CONSENT","47iE8g8E488_3","HIT02_24",1436272404242,"html","Other teaching professional","Male","Web",1,"india",32,"0","1","0","1","0",2,364732,NA,NA,90,60.6977851420413,0.659986338615415,0.438627388040411
"31","Tue2015Jul0708:40:41.134","CONSENT","50AE8e9G-550_3","HIT02_24",1436272444793,NA,"Other Accountant","Female","University",0,"USA",25,"0","0","0","1","0",1,396341,NA,NA,159,164.244765272243,0.283253001320962,0.545834144014281
"32","Tue2015Jul0708:50:00.807","CONSENT","54gG-7g7A92-5_3","HIT02_24",1436272629108,"j++","Undergraduate_Student","Male","University",1,"india",29,"0","1","0","0","0",1,699920,NA,NA,91,79.1622650165717,0.490009859511696,0.481294462706184
"33","Tue2015Jul0709:07:41.368","CONSENT","59aa7c-2A0-38_3","HIT01_8",1436272682486,"SQL","Other Information Systems Specialist","Male","Other_On_the_job",7,"USA",36,"0","0","0","0","0",0,760997,NA,NA,271,320.219929518008,0,0.64170788576225
