"","worker_id","years_programming","age","is_student"
"1","0_1",NA,NA,NA
"2","1_1",NA,NA,NA
"3","2_1",NA,NA,NA
"4","3_1",NA,NA,NA
"5","4_1",NA,NA,NA
"6","5_1",NA,NA,NA
"7","6_1",NA,NA,NA
"8","7_1",NA,NA,NA
"9","8_1",3,25,"0"
"10","8_1",3,25,"0"
"11","8_1",3,25,"0"
"12","8_1",3,25,"0"
"13","8_1",3,25,"0"
"14","8_1",3,25,"0"
"15","8_1",3,25,"0"
"16","9_1",NA,NA,NA
"17","11_1",NA,NA,NA
"18","12_1",NA,NA,NA
"19","14_1",NA,NA,NA
"20","16_1",NA,NA,NA
"21","17_1",NA,NA,NA
"22","18_1",NA,NA,NA
"23","19_1",NA,NA,NA
"24","20_1",NA,NA,NA
"25","21_1",NA,NA,NA
"26","23_1",NA,NA,NA
"27","25_1",NA,NA,NA
"28","26_1",NA,NA,NA
"29","27_1",NA,NA,NA
"30","29_1",NA,NA,NA
"31","30_1",NA,NA,NA
"32","31_1",NA,NA,NA
"33","32_1",NA,NA,NA
"34","33_1",NA,NA,NA
"35","34_1",NA,NA,NA
"36","35_1",NA,NA,NA
"37","37_1",NA,NA,NA
"38","38_1",NA,NA,NA
"39","39_1",33,33,"0"
"40","40_1",NA,NA,NA
"41","41_1",NA,NA,NA
"42","43_1",NA,NA,NA
"43","44_1",NA,NA,NA
"44","45_1",NA,NA,NA
"45","47_1",NA,NA,NA
"46","48_1",NA,NA,NA
"47","49_1",2,28,"0"
"48","49_1",2,28,"0"
"49","49_1",2,28,"0"
"50","49_1",2,28,"0"
"51","50_1",NA,NA,NA
"52","51_1",NA,NA,NA
"53","53_1",NA,NA,NA
"54","55_1",NA,NA,NA
"55","56_1",NA,NA,NA
"56","58_1",NA,NA,NA
"57","59_1",NA,NA,NA
"58","60_1",NA,NA,NA
"59","61_1",NA,NA,NA
"60","63_1",NA,NA,NA
"61","64_1",0,43,"0"
"62","65_1",NA,NA,NA
"63","67_1",NA,NA,NA
"64","68_1",NA,NA,NA
"65","69_1",NA,NA,NA
"66","70_1",1,41,"0"
"67","70_1",1,41,"0"
"68","70_1",1,41,"0"
"69","71_1",2,25,"0"
"70","71_1",2,25,"0"
"71","71_1",2,25,"0"
"72","71_1",2,25,"0"
"73","71_1",2,25,"0"
"74","71_1",2,25,"0"
"75","71_1",2,25,"0"
"76","73_1",5,25,"0"
"77","73_1",5,25,"0"
"78","73_1",5,25,"0"
"79","73_1",5,25,"0"
"80","73_1",5,25,"0"
"81","73_1",5,25,"0"
"82","73_1",5,25,"0"
"83","74_1",NA,NA,NA
"84","75_1",NA,NA,NA
"85","76_1",NA,NA,NA
"86","77_1",NA,NA,NA
"87","78_1",NA,NA,NA
"88","79_1",NA,NA,NA
"89","80_1",NA,NA,NA
"90","81_1",NA,NA,NA
"91","82_1",NA,NA,NA
"92","83_1",NA,NA,NA
"93","84_1",NA,NA,NA
"94","85_1",NA,NA,NA
"95","86_1",NA,NA,NA
"96","87_1",5,27,"0"
"97","87_1",5,27,"0"
"98","87_1",5,27,"0"
"99","87_1",5,27,"0"
"100","88_1",NA,NA,NA
"101","89_1",NA,NA,NA
"102","90_1",NA,NA,NA
"103","91_1",NA,NA,NA
"104","92_1",NA,NA,NA
"105","93_1",NA,NA,NA
"106","94_1",NA,NA,NA
"107","95_1",1,40,"0"
"108","95_1",1,40,"0"
"109","96_1",NA,NA,NA
"110","97_1",NA,NA,NA
"111","98_1",NA,NA,NA
"112","99_1",NA,NA,NA
"113","100_1",NA,NA,NA
"114","101_1",NA,NA,NA
"115","102_1",1,28,"0"
"116","102_1",1,28,"0"
"117","102_1",1,28,"0"
"118","102_1",1,28,"0"
"119","102_1",1,28,"0"
"120","102_1",1,28,"0"
"121","102_1",1,28,"0"
"122","102_1",1,28,"0"
"123","102_1",1,28,"0"
"124","102_1",1,28,"0"
"125","103_1",NA,NA,NA
"126","104_1",NA,NA,NA
"127","105_1",NA,NA,NA
"128","106_1",NA,NA,NA
"129","108_1",8,25,"0"
"130","109_1",NA,NA,NA
"131","110_1",NA,NA,NA
"132","111_1",NA,NA,NA
"133","112_1",NA,NA,NA
"134","113_1",NA,NA,NA
"135","114_1",NA,NA,NA
"136","115_1",NA,NA,NA
"137","117_1",NA,NA,NA
"138","118_1",NA,NA,NA
"139","119_1",NA,NA,NA
"140","121_1",NA,NA,NA
"141","122_1",NA,NA,NA
"142","123_1",NA,NA,NA
"143","125_1",NA,NA,NA
"144","127_1",NA,NA,NA
"145","129_1",NA,NA,NA
"146","131_1",NA,NA,NA
"147","132_1",NA,NA,NA
"148","133_1",NA,NA,NA
"149","134_1",1,24,"0"
"150","134_1",1,24,"0"
"151","134_1",1,24,"0"
"152","134_1",1,24,"0"
"153","134_1",1,24,"0"
"154","134_1",1,24,"0"
"155","134_1",1,24,"0"
"156","134_1",1,24,"0"
"157","134_1",1,24,"0"
"158","137_1",NA,NA,NA
"159","138_1",2,28,"0"
"160","138_1",2,28,"0"
"161","138_1",2,28,"0"
"162","138_1",2,28,"0"
"163","139_1",NA,NA,NA
"164","141_1",NA,NA,NA
"165","143_1",NA,NA,NA
"166","144_1",1,28,"0"
"167","144_1",1,28,"0"
"168","144_1",1,28,"0"
"169","144_1",1,28,"0"
"170","144_1",1,28,"0"
"171","144_1",1,28,"0"
"172","144_1",1,28,"0"
"173","144_1",1,28,"0"
"174","144_1",1,28,"0"
"175","144_1",1,28,"0"
"176","146_1",NA,NA,NA
"177","147_1",NA,NA,NA
"178","148_1",NA,NA,NA
"179","149_1",NA,NA,NA
"180","150_1",NA,NA,NA
"181","151_1",NA,NA,NA
"182","152_1",NA,NA,NA
"183","153_1",4,32,"0"
"184","154_1",NA,NA,NA
"185","155_1",NA,NA,NA
"186","157_1",NA,NA,NA
"187","158_1",NA,NA,NA
"188","159_1",NA,NA,NA
"189","160_1",NA,NA,NA
"190","161_1",NA,NA,NA
"191","162_1",NA,NA,NA
"192","163_1",NA,NA,NA
"193","164_1",NA,NA,NA
"194","165_1",NA,NA,NA
"195","166_1",NA,NA,NA
"196","167_1",NA,NA,NA
"197","168_1",NA,NA,NA
"198","169_1",NA,NA,NA
"199","170_1",NA,NA,NA
"200","172_1",NA,NA,NA
"201","175_1",NA,NA,NA
"202","179_1",NA,NA,NA
"203","181_1",NA,NA,NA
"204","182_1",NA,NA,NA
"205","183_1",NA,NA,NA
"206","184_1",NA,NA,NA
"207","185_1",NA,NA,NA
"208","186_1",NA,NA,NA
"209","187_1",NA,NA,NA
"210","188_1",NA,NA,NA
"211","189_1",2,53,"0"
"212","190_1",NA,NA,NA
"213","192_1",NA,NA,NA
"214","193_1",NA,NA,NA
"215","194_1",NA,NA,NA
"216","196_1",NA,NA,NA
"217","197_1",NA,NA,NA
"218","199_1",NA,NA,NA
"219","200_1",NA,NA,NA
"220","201_1",NA,NA,NA
"221","202_1",NA,NA,NA
"222","204_1",NA,NA,NA
"223","205_1",NA,NA,NA
"224","206_1",NA,NA,NA
"225","207_1",NA,NA,NA
"226","209_1",NA,NA,NA
"227","211_1",NA,NA,NA
"228","212_1",NA,NA,NA
"229","213_1",NA,NA,NA
"230","216_1",NA,NA,NA
"231","217_1",3,28,"0"
"232","217_1",3,28,"0"
"233","217_1",3,28,"0"
"234","217_1",3,28,"0"
"235","218_1",NA,NA,NA
"236","219_1",NA,NA,NA
"237","223_1",NA,NA,NA
"238","225_1",NA,NA,NA
"239","226_1",NA,NA,NA
"240","227_1",NA,NA,NA
"241","228_1",2,34,"0"
"242","229_1",1,25,"0"
"243","229_1",1,25,"0"
"244","229_1",1,25,"0"
"245","229_1",1,25,"0"
"246","231_1",NA,NA,NA
"247","232_1",NA,NA,NA
"248","234_1",0,29,"0"
"249","234_1",0,29,"0"
"250","235_1",NA,NA,NA
"251","237_1",NA,NA,NA
"252","238_1",NA,NA,NA
"253","239_1",NA,NA,NA
"254","242_1",NA,NA,NA
"255","243_1",NA,NA,NA
"256","244_1",NA,NA,NA
"257","246_1",NA,NA,NA
"258","247_1",NA,NA,NA
"259","248_1",NA,NA,NA
"260","249_1",NA,NA,NA
"261","250_1",NA,NA,NA
"262","251_1",NA,NA,NA
"263","253_1",NA,NA,NA
"264","256_1",NA,NA,NA
"265","257_1",NA,NA,NA
"266","258_1",NA,NA,NA
"267","259_1",NA,NA,NA
"268","260_1",NA,NA,NA
"269","263_1",NA,NA,NA
"270","265_1",NA,NA,NA
"271","267_1",NA,NA,NA
"272","268_1",NA,NA,NA
"273","270_1",NA,NA,NA
"274","272_1",NA,NA,NA
"275","273_1",6,20,"1"
"276","275_1",NA,NA,NA
"277","276_1",NA,NA,NA
"278","277_1",NA,NA,NA
"279","278_1",NA,NA,NA
"280","279_1",NA,NA,NA
"281","280_1",NA,NA,NA
"282","281_1",NA,NA,NA
"283","282_1",NA,NA,NA
"284","283_1",NA,NA,NA
"285","284_1",NA,NA,NA
"286","286_1",0,39,"0"
"287","288_1",7,27,"0"
"288","288_1",7,27,"0"
"289","288_1",7,27,"0"
"290","290_1",NA,NA,NA
"291","291_1",NA,NA,NA
"292","292_1",NA,NA,NA
"293","293_1",NA,NA,NA
"294","294_1",NA,NA,NA
"295","295_1",NA,NA,NA
"296","296_1",NA,NA,NA
"297","297_1",NA,NA,NA
"298","298_1",NA,NA,NA
"299","299_1",NA,NA,NA
"300","300_1",NA,NA,NA
"301","301_1",NA,NA,NA
"302","302_1",NA,NA,NA
"303","304_1",NA,NA,NA
"304","305_1",NA,NA,NA
"305","307_1",NA,NA,NA
"306","308_1",NA,NA,NA
"307","309_1",NA,NA,NA
"308","311_1",NA,NA,NA
"309","312_1",2,35,"0"
"310","312_1",2,35,"0"
"311","312_1",2,35,"0"
"312","313_1",1,55,"0"
"313","314_1",NA,NA,NA
"314","315_1",NA,NA,NA
"315","316_1",NA,NA,NA
"316","317_1",NA,NA,NA
"317","318_1",NA,NA,NA
"318","319_1",NA,NA,NA
"319","320_1",NA,NA,NA
"320","321_1",NA,NA,NA
"321","322_1",NA,NA,NA
"322","323_1",NA,NA,NA
"323","324_1",NA,NA,NA
"324","325_1",NA,NA,NA
"325","326_1",NA,NA,NA
"326","327_1",NA,NA,NA
"327","328_1",NA,NA,NA
"328","329_1",NA,NA,NA
"329","330_1",3,25,"0"
"330","330_1",3,25,"0"
"331","330_1",3,25,"0"
"332","330_1",3,25,"0"
"333","330_1",3,25,"0"
"334","330_1",3,25,"0"
"335","330_1",3,25,"0"
"336","331_1",NA,NA,NA
"337","333_1",NA,NA,NA
"338","334_1",NA,NA,NA
"339","335_1",NA,NA,NA
"340","337_1",NA,NA,NA
"341","338_1",1,23,"0"
"342","338_1",1,23,"0"
"343","338_1",1,23,"0"
"344","338_1",1,23,"0"
"345","338_1",1,23,"0"
"346","338_1",1,23,"0"
"347","339_1",1,21,"1"
"348","339_1",1,21,"1"
"349","339_1",1,21,"1"
"350","339_1",1,21,"1"
"351","339_1",1,21,"1"
"352","340_1",NA,NA,NA
"353","341_1",6,34,"0"
"354","341_1",6,34,"0"
"355","342_1",NA,NA,NA
"356","343_1",NA,NA,NA
"357","344_1",NA,NA,NA
"358","345_1",NA,NA,NA
"359","346_1",NA,NA,NA
"360","347_1",NA,NA,NA
"361","349_1",5,28,"0"
"362","349_1",5,28,"0"
"363","349_1",5,28,"0"
"364","349_1",5,28,"0"
"365","350_1",NA,NA,NA
"366","351_1",NA,NA,NA
"367","352_1",NA,NA,NA
"368","354_1",NA,NA,NA
"369","355_1",NA,NA,NA
"370","356_1",NA,NA,NA
"371","358_1",1,22,"1"
"372","358_1",1,22,"1"
"373","358_1",1,22,"1"
"374","358_1",1,22,"1"
"375","358_1",1,22,"1"
"376","359_1",0.5,25,"0"
"377","360_1",NA,NA,NA
"378","361_1",NA,NA,NA
"379","362_1",NA,NA,NA
"380","363_1",NA,NA,NA
"381","364_1",NA,NA,NA
"382","365_1",NA,NA,NA
"383","367_1",NA,NA,NA
"384","369_1",NA,NA,NA
"385","370_1",NA,NA,NA
"386","373_1",NA,NA,NA
"387","374_1",NA,NA,NA
"388","375_1",NA,NA,NA
"389","376_1",NA,NA,NA
"390","377_1",NA,NA,NA
"391","378_1",NA,NA,NA
"392","379_1",NA,NA,NA
"393","380_1",NA,NA,NA
"394","381_1",NA,NA,NA
"395","383_1",NA,NA,NA
"396","384_1",NA,NA,NA
"397","385_1",30,57,"0"
"398","386_1",NA,NA,NA
"399","387_1",NA,NA,NA
"400","389_1",10,35,"0"
"401","389_1",10,35,"0"
"402","389_1",10,35,"0"
"403","389_1",10,35,"0"
"404","391_1",NA,NA,NA
"405","392_1",6,28,"0"
"406","392_1",6,28,"0"
"407","393_1",2,29,"0"
"408","393_1",2,29,"0"
"409","393_1",2,29,"0"
"410","393_1",2,29,"0"
"411","394_1",0,29,"0"
"412","394_1",0,29,"0"
"413","396_1",NA,NA,NA
"414","397_1",NA,NA,NA
"415","398_1",23,46,"0"
"416","399_1",4,30,"0"
"417","399_1",4,30,"0"
"418","399_1",4,30,"0"
"419","400_1",NA,NA,NA
"420","401_1",5,26,"0"
"421","401_1",5,26,"0"
"422","402_1",NA,NA,NA
"423","403_1",6,25,"0"
"424","404_1",NA,NA,NA
"425","405_1",NA,NA,NA
"426","406_1",NA,NA,NA
"427","407_1",NA,NA,NA
"428","409_1",1,33,"0"
"429","409_1",1,33,"0"
"430","409_1",1,33,"0"
"431","409_1",1,33,"0"
"432","409_1",1,33,"0"
"433","409_1",1,33,"0"
"434","411_1",NA,NA,NA
"435","413_1",NA,NA,NA
"436","414_1",NA,NA,NA
"437","415_1",0,34,"0"
"438","415_1",0,34,"0"
"439","415_1",0,34,"0"
"440","417_1",NA,NA,NA
"441","418_1",NA,NA,NA
"442","420_1",NA,NA,NA
"443","421_1",NA,NA,NA
"444","423_1",NA,NA,NA
"445","424_1",NA,NA,NA
"446","425_1",NA,NA,NA
"447","426_1",NA,NA,NA
"448","427_1",NA,NA,NA
"449","428_1",NA,NA,NA
"450","429_1",NA,NA,NA
"451","430_1",NA,NA,NA
"452","431_1",NA,NA,NA
"453","432_1",NA,NA,NA
"454","433_1",NA,NA,NA
"455","434_1",NA,NA,NA
"456","435_1",NA,NA,NA
"457","436_1",NA,NA,NA
"458","437_1",NA,NA,NA
"459","439_1",2,41,"0"
