"","X","time_stamp","event","worker_id","file_name.x","session_id","microtask_id","question_type","question","answer","answer_index","confidence","difficulty","duration","explanation","consent_date","language","profession","gender","learned","years_programming","country","age","test1","test2","test3","test4","test5","qualification_score.x","test_duration","feedback","quit_fileName","quit_reason","line","char_count","cyclomatic_complexity","length_Halstead","volume_Halstead","LOC","trimmed_LOC","s_char_count","s_cyclomatic_complexity","s_length_Halstead","s_volume_Halstead","s_LOC","s_trimmed_LOC","LineID","isBugCovering","type","faulty_lines","all_Lines","LOC_inspection","LOC_original","isAnswerCorrect","file_name.y","adjusted_score","qualification_score.y","testDuration_fastMembership","is_fast"
"4",3,"Tue 2015 Jul 07 08:25:16.959","MICROTASK","23EE-1c8E1-7-2:16eA-3g-9A-7-5-3_3","HIT02_24","40GG1e1A-5-42","10","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'value' in the source code below that might be related to the failure?","I_DO_NOT_KNOW",1,0,2,177102,"It s not clear if the program was meant to accept a negative number.  I can t answer the question without seeing the definition of this.lowerBound and this.upperBound.",1.44e+12,"PHP;MySQL","Professional_Developer","Female","University;Web",6,"INDIA",31,TRUE,TRUE,TRUE,TRUE,FALSE,4,422737,"Very Interesting task. Many Thanks.","","",114,37,1,9,23.26466251,1,1,227,2,107,484.0211293,6,6,114,TRUE,"variable","117","115;117",2,2,FALSE,"HIT02_24",1.14407742243869,5,0.633395166880102,TRUE
"6",4,"Tue 2015 Jul 07 08:26:53.073","MICROTASK","23EE-1c8E1-7-2:16eA-3g-9A-7-5-3_3","HIT02_24","40GG1e1A-5-42","14","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'g' in the source code below that might be related to the failure?","YES_THERE_IS_AN_ISSUE",2,4,2,96114,"The exception is coming from Color; so it must be g that has a bad value.  I need to see the definition of this.lowerBound and this.upperBound to know what is wrong though.",1.44e+12,"PHP;MySQL","Professional_Developer","Female","University;Web",6,"INDIA",31,TRUE,TRUE,TRUE,TRUE,FALSE,4,422737,"Very Interesting task. Many Thanks.","","",117,59,1,26,82.41805004,1,1,227,2,107,484.0211293,6,6,117,TRUE,"variable","117","117;118",2,2,TRUE,"HIT02_24",1.14407742243869,5,0.633395166880102,TRUE
"8",5,"Tue 2015 Jul 07 08:28:23.955","MICROTASK","23EE-1c8E1-7-2:16eA-3g-9A-7-5-3_3","HIT02_24","40GG1e1A-5-42","12","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'max'  at line  115 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",3,5,1,90882,"This line looks fine; but I now see the issue is that  v  is never used to determine the value for  g ",1.44e+12,"PHP;MySQL","Professional_Developer","Female","University;Web",6,"INDIA",31,TRUE,TRUE,TRUE,TRUE,FALSE,4,422737,"Very Interesting task. Many Thanks.","","",115,44,1,17,53.88872502,1,1,227,2,107,484.0211293,6,6,115,FALSE,"method invocation","","115",1,1,TRUE,"HIT02_24",1.14407742243869,5,0.633395166880102,TRUE
"15",11,"Tue 2015 Jul 07 08:41:49.583","MICROTASK","23EE-1c8E1-7-2:16eA-3g-9A-7-5-3_3","HIT01_8","440gI-1G-6a8-3-5","6","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'hoursInMinutes' in the source code below that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",1,5,2,289349,"The issue occurs before this point in the code. The javadoc says it accepts negative minutes; but it s hard coded to throw the exception if minutesOffset is negative.",1.44e+12,"PHP;MySQL","Professional_Developer","Female","University;Web",6,"INDIA",31,TRUE,TRUE,TRUE,TRUE,FALSE,4,422737,"Very Interesting task. Many Thanks.","","",284,38,1,18,50.5323886,1,1,825,16,305,1644.656814,23,18,284,FALSE,"variable","","284;285;286;288",4,4,TRUE,"HIT02_24",1.14407742243869,5,0.633395166880102,TRUE
"17",12,"Tue 2015 Jul 07 08:42:54.987","MICROTASK","23EE-1c8E1-7-2:16eA-3g-9A-7-5-3_3","HIT01_8","440gI-1G-6a8-3-5","2","IF_CONDITIONAL","Is there any issue with the conditional clause between lines 273 and 275 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",2,5,1,65404,"The conditional checks if hours and minutes are 0.  This is not true; so the conditional does not come into play.",1.44e+12,"PHP;MySQL","Professional_Developer","Female","University;Web",6,"INDIA",31,TRUE,TRUE,TRUE,TRUE,FALSE,4,422737,"Very Interesting task. Many Thanks.","","",273,70,4,38,126.2332676,3,2,825,16,305,1644.656814,23,18,273,FALSE,"conditional","","273;274",2,2,TRUE,"HIT02_24",1.14407742243869,5,0.633395166880102,TRUE
"20",14,"Tue 2015 Jul 07 08:43:38.499","MICROTASK","23EE-1c8E1-7-2:16eA-3g-9A-7-5-3_3","HIT01_8","440gI-1G-6a8-3-5","8","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'safeMultiply'  at line  290 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",3,5,1,43510,"The issue occurs before this point in the code. The javadoc says it accepts negative minutes; but it s hard coded to throw the exception if minutesOffset is negative.",1.44e+12,"PHP;MySQL","Professional_Developer","Female","University;Web",6,"INDIA",31,TRUE,TRUE,TRUE,TRUE,FALSE,4,422737,"Very Interesting task. Many Thanks.","","",290,85,1,20,60,1,1,825,16,305,1644.656814,23,18,290,FALSE,"method invocation","","290",1,1,TRUE,"HIT02_24",1.14407742243869,5,0.633395166880102,TRUE
"22",15,"Tue 2015 Jul 07 08:46:12.354","MICROTASK","832cg-7G1i-462:73eI-8E-2g-985_3","HIT01_8","438eC5I4G-62-8","8","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'safeMultiply'  at line  290 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",1,4,2,126139,"The exception happened due to forOffsetHoursMinutes not accepting negative numbers for minutes; and it throws the exception on line 280.",1.44e+12,"Java; C++; C#","Undergraduate_Student","Male","High_School",7,"United States",21,TRUE,TRUE,TRUE,TRUE,TRUE,5,123712,"Enjoyable!","","",290,85,1,20,60,1,1,825,16,305,1644.656814,23,18,290,FALSE,"method invocation","","290",1,1,TRUE,"HIT01_8",0.880821906012702,4,0.629053859769634,TRUE
"24",16,"Tue 2015 Jul 07 08:47:45.399","MICROTASK","832cg-7G1i-462:73eI-8E-2g-985_3","HIT01_8","438eC5I4G-62-8","4","IF_CONDITIONAL","Is there any issue with the conditional clause between lines 279 and 281 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",2,4,2,93045,"The minute variable was negative therefore; it threw the exception because it only takes numbers between 0 and 59 for minutes.",1.44e+12,"Java; C++; C#","Undergraduate_Student","Male","High_School",7,"United States",21,TRUE,TRUE,TRUE,TRUE,TRUE,5,123712,"Enjoyable!","","",279,124,3,38,140.6167093,3,2,825,16,305,1644.656814,23,18,279,TRUE,"conditional","279","279;280",2,2,FALSE,"HIT01_8",0.880821906012702,4,0.629053859769634,TRUE
"26",17,"Tue 2015 Jul 07 08:48:31.263","MICROTASK","27Ei-8i0A-3-59:15cG-7i7C996_3","HIT02_24","38ae9a-2G-80-4","10","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'value' in the source code below that might be related to the failure?","YES_THERE_IS_AN_ISSUE",1,4,3,1074931,"g has to be 0-255. But you are passing in -0.5. I don t know the specifics of the lowerbound and upperbound on the min and max as I am not a Java class expert; but I reckon g comes out negative once the calculation plays out.",1.44e+12,"RPG; Visual Basic","Professional_Developer","Male","High_School;University",23,"USA",44,TRUE,FALSE,TRUE,TRUE,FALSE,3,60300,"I think it is the way lines 87 thru 89 (especially) are handled considering the input string contains potential release characters. I think it leads pos to be increased too rapidly.    Real tough one.","","",114,37,1,9,23.26466251,1,1,227,2,107,484.0211293,6,6,114,TRUE,"variable","117","115;117",2,2,TRUE,"HIT02_24",0.678505656428569,4,0.622648560914223,TRUE
"28",17,"Tue 2015 Jul 07 08:48:31.263","MICROTASK","27Ei-8i0A-3-59:15cG-7i7C996_3","HIT02_24","38ae9a-2G-80-4","10","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'value' in the source code below that might be related to the failure?","YES_THERE_IS_AN_ISSUE",1,4,3,1074931,"g has to be 0-255. But you are passing in -0.5. I don t know the specifics of the lowerbound and upperbound on the min and max as I am not a Java class expert; but I reckon g comes out negative once the calculation plays out.",1.44e+12,"RPG; Visual Basic","Professional_Developer","Male","High_School;University",23,"USA",44,TRUE,FALSE,TRUE,TRUE,FALSE,3,60300,"I think it is the way lines 87 thru 89 (especially) are handled considering the input string contains potential release characters. I think it leads pos to be increased too rapidly.    Real tough one.","","",114,37,1,9,23.26466251,1,1,227,2,107,484.0211293,6,6,114,TRUE,"variable","117","115;117",2,2,TRUE,"HIT08_54",0.678505656428569,4,0.656745645551679,TRUE
"29",18,"Tue 2015 Jul 07 08:49:16.384","MICROTASK","832cg-7G1i-462:73eI-8E-2g-985_3","HIT01_8","438eC5I4G-62-8","0","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'hoursOffset' in the source code below that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",3,4,2,90984,"hoursOffset accepts negative numbers between -23 and 23. Which is what is stated it should accept.",1.44e+12,"Java; C++; C#","Undergraduate_Student","Male","High_School",7,"United States",21,TRUE,TRUE,TRUE,TRUE,TRUE,5,123712,"Enjoyable!","","",272,118,3,16,53.15084952,1,1,825,16,305,1644.656814,23,18,272,FALSE,"variable","","273;276;277;284",4,5,TRUE,"HIT01_8",0.880821906012702,4,0.629053859769634,TRUE
"32",20,"Tue 2015 Jul 07 08:50:10.400","MICROTASK","358ig-7C7C5-1-2:10EI0c-3A0-3-9_3","HIT02_24","36aa-2A-9a8-43","10","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'value' in the source code below that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",1,3,3,226920,"This does not appear to be an issue because a double is the default data type for decimals so this shouldn t be what is causing the error.",1.44e+12,"SQL","Professional_Developer","Male","University",5,"USA",32,TRUE,TRUE,TRUE,TRUE,TRUE,5,69343,"I thought this was interesting.","","",114,37,1,9,23.26466251,1,1,227,2,107,484.0211293,6,6,114,TRUE,"variable","117","115;117",2,2,FALSE,"HIT02_24",0.36058184096042,3,0.65282154944554,TRUE
"34",21,"Tue 2015 Jul 07 08:50:35.838","MICROTASK","270ie-2C-4c-550:97ai0I-8C871_3","HIT01_8","436eC-9E2e70-4","6","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'hoursInMinutes' in the source code below that might be related to the failure?","YES_THERE_IS_AN_ISSUE",1,4,2,222082,"In the comment in the source code it says that the minutes value must be in the range -59 to +59. However; in the code it throws an exception if the minutes value is less than 0. It should only throw an exception if the minutes value is less than -59; not less than 0.",1.44e+12,"c++","Professional_Developer","Male","High_School;University;Other_as_long_as_i_can_remember_honestly",20,"USA",25,TRUE,TRUE,TRUE,TRUE,TRUE,5,192214,"i don't like people who are responsible for code like this...","","",284,38,1,18,50.5323886,1,1,825,16,305,1644.656814,23,18,284,FALSE,"variable","","284;285;286;288",4,4,FALSE,"HIT01_8",0.880821906012702,4,0.515899646960858,TRUE
"36",22,"Tue 2015 Jul 07 08:51:25.205","MICROTASK","358ig-7C7C5-1-2:10EI0c-3A0-3-9_3","HIT02_24","36aa-2A-9a8-43","14","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'g' in the source code below that might be related to the failure?","YES_THERE_IS_AN_ISSUE",2,3,3,74804,"I m not sure if this is the issue but the fact that int g is being defined by (int) could be causing some kind of parameter error.",1.44e+12,"SQL","Professional_Developer","Male","University",5,"USA",32,TRUE,TRUE,TRUE,TRUE,TRUE,5,69343,"I thought this was interesting.","","",117,59,1,26,82.41805004,1,1,227,2,107,484.0211293,6,6,117,TRUE,"variable","117","117;118",2,2,TRUE,"HIT02_24",0.36058184096042,3,0.65282154944554,TRUE
"39",24,"Tue 2015 Jul 07 08:52:12.872","MICROTASK","270ie-2C-4c-550:97ai0I-8C871_3","HIT01_8","436eC-9E2e70-4","2","IF_CONDITIONAL","Is there any issue with the conditional clause between lines 273 and 275 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",2,5,1,97034,"Lines 273 to 275 only check to ensure the offsets don t equal zero. These lines don t result in the exception shown above being shown.",1.44e+12,"c++","Professional_Developer","Male","High_School;University;Other_as_long_as_i_can_remember_honestly",20,"USA",25,TRUE,TRUE,TRUE,TRUE,TRUE,5,192214,"i don't like people who are responsible for code like this...","","",273,70,4,38,126.2332676,3,2,825,16,305,1644.656814,23,18,273,FALSE,"conditional","","273;274",2,2,TRUE,"HIT01_8",0.880821906012702,4,0.515899646960858,TRUE
"41",25,"Tue 2015 Jul 07 08:52:14.883","MICROTASK","358ig-7C7C5-1-2:10EI0c-3A0-3-9_3","HIT02_24","36aa-2A-9a8-43","12","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'max'  at line  115 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",3,3,3,49678,"It looks to me that this line is correctly defining the maximum value for the variable and I don t see how that would be causing the error above.",1.44e+12,"SQL","Professional_Developer","Male","University",5,"USA",32,TRUE,TRUE,TRUE,TRUE,TRUE,5,69343,"I thought this was interesting.","","",115,44,1,17,53.88872502,1,1,227,2,107,484.0211293,6,6,115,FALSE,"method invocation","","115",1,1,TRUE,"HIT02_24",0.36058184096042,3,0.65282154944554,TRUE
"43",26,"Tue 2015 Jul 07 08:52:38.796","MICROTASK","27Ei-8i0A-3-59:15cG-7i7C996_3","HIT02_24","38ae9a-2G-80-4","14","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'g' in the source code below that might be related to the failure?","YES_THERE_IS_AN_ISSUE",2,4,3,247533,"The calculation of g appears to result in a negative integer value if the parameter value is negative to begin with. Passing a negative g into Color would produce the error and there is nothing in the definition of g that seeks to prevent that. And the calculation certainly looks like it would come out negative in that scenario. Again without understanding the relevance of lowerbound and upperbound; I cannot be 100 percent certain; as a caveat.",1.44e+12,"RPG; Visual Basic","Professional_Developer","Male","High_School;University",23,"USA",44,TRUE,FALSE,TRUE,TRUE,FALSE,3,60300,"I think it is the way lines 87 thru 89 (especially) are handled considering the input string contains potential release characters. I think it leads pos to be increased too rapidly.    Real tough one.","","",117,59,1,26,82.41805004,1,1,227,2,107,484.0211293,6,6,117,TRUE,"variable","117","117;118",2,2,TRUE,"HIT02_24",0.678505656428569,4,0.622648560914223,TRUE
"45",26,"Tue 2015 Jul 07 08:52:38.796","MICROTASK","27Ei-8i0A-3-59:15cG-7i7C996_3","HIT02_24","38ae9a-2G-80-4","14","VARIABLE_DECLARATION","Is there any issue with the use or the definition of variable 'g' in the source code below that might be related to the failure?","YES_THERE_IS_AN_ISSUE",2,4,3,247533,"The calculation of g appears to result in a negative integer value if the parameter value is negative to begin with. Passing a negative g into Color would produce the error and there is nothing in the definition of g that seeks to prevent that. And the calculation certainly looks like it would come out negative in that scenario. Again without understanding the relevance of lowerbound and upperbound; I cannot be 100 percent certain; as a caveat.",1.44e+12,"RPG; Visual Basic","Professional_Developer","Male","High_School;University",23,"USA",44,TRUE,FALSE,TRUE,TRUE,FALSE,3,60300,"I think it is the way lines 87 thru 89 (especially) are handled considering the input string contains potential release characters. I think it leads pos to be increased too rapidly.    Real tough one.","","",117,59,1,26,82.41805004,1,1,227,2,107,484.0211293,6,6,117,TRUE,"variable","117","117;118",2,2,TRUE,"HIT08_54",0.678505656428569,4,0.656745645551679,TRUE
"48",29,"Tue 2015 Jul 07 08:55:49.367","MICROTASK","270ie-2C-4c-550:97ai0I-8C871_3","HIT01_8","436eC-9E2e70-4","8","METHOD_INVOCATION","Is there any issue with the  method invocation(s) 'safeMultiply'  at line  290 that might be related to the failure?","NO_THERE_IS_NOT_AN_ISSUE",3,2,3,216495,"The failure is caused by the check on line 279. This failure is occurring before you even get to line 290.",1.44e+12,"c++","Professional_Developer","Male","High_School;University;Other_as_long_as_i_can_remember_honestly",20,"USA",25,TRUE,TRUE,TRUE,TRUE,TRUE,5,192214,"i don't like people who are responsible for code like this...","","",290,85,1,20,60,1,1,825,16,305,1644.656814,23,18,290,FALSE,"method invocation","","290",1,1,TRUE,"HIT01_8",0.880821906012702,4,0.515899646960858,TRUE
